iter	Passed	Remaining
0	179	179530
1	195	97522
2	205	68323
3	211	52778
4	218	43480
5	222	36930
6	227	32238
7	232	28858
8	236	26036
9	240	23799
10	248	22319
11	252	20749
12	255	19381
13	258	18196
14	262	17263
15	265	16348
16	267	15493
17	271	14790
18	274	14148
19	278	13638
20	281	13119
21	284	12643
22	287	12211
23	290	11812
24	294	11503
25	298	11163
26	301	10856
27	304	10562
28	307	10287
29	311	10077
30	314	9835
31	317	9617
32	320	9405
33	324	9208
34	328	9050
35	331	8870
36	334	8704
37	337	8541
38	340	8395
39	344	8264
40	347	8129
41	350	7995
42	352	7846
43	355	7728
44	359	7632
45	362	7512
46	365	7403
47	367	7282
48	370	7191
49	374	7119
50	377	7030
51	380	6943
52	383	6857
53	387	6780
54	391	6724
55	394	6652
56	397	6575
57	399	6494
58	401	6409
59	404	6344
60	408	6295
61	410	6213
62	413	6152
63	416	6097
64	419	6033
65	424	6001
66	427	5948
67	430	5894
68	433	5844
69	436	5794
70	441	5771
71	445	5737
72	448	5691
73	451	5644
74	455	5611
75	458	5572
76	460	5518
77	463	5476
78	466	5435
79	469	5403
80	473	5370
81	476	5331
82	479	5292
83	481	5255
84	485	5221
85	487	5184
86	490	5150
87	493	5116
88	496	5086
89	499	5053
90	503	5028
91	506	4999
92	509	4969
93	512	4941
94	515	4911
95	519	4892
96	522	4867
97	526	4842
98	529	4814
99	531	4787
100	535	4769
101	540	4754
102	543	4729
103	546	4704
104	549	4680
105	552	4660
106	555	4636
107	558	4612
108	561	4589
109	564	4568
110	569	4557
111	572	4539
112	575	4517
113	578	4495
114	581	4478
115	585	4462
116	589	4449
117	592	4429
118	595	4410
119	598	4390
120	602	4376
121	605	4357
122	608	4338
123	611	4319
124	614	4300
125	617	4285
126	620	4267
127	623	4249
128	625	4226
129	628	4208
130	631	4191
131	634	4174
132	637	4158
133	640	4140
134	643	4120
135	646	4104
136	649	4089
137	652	4073
138	654	4057
139	657	4041
140	660	4026
141	663	4011
142	667	3998
143	670	3984
144	673	3969
145	676	3955
146	679	3941
147	682	3927
148	685	3913
149	688	3899
150	691	3885
151	694	3871
152	697	3859
153	700	3846
154	703	3833
155	706	3819
156	708	3806
157	712	3798
158	716	3790
159	720	3784
160	724	3777
161	729	3772
162	733	3765
163	737	3759
164	741	3754
165	745	3746
166	749	3739
167	754	3734
168	758	3729
169	762	3722
170	766	3715
171	770	3709
172	773	3696
173	777	3689
174	781	3682
175	785	3675
176	789	3669
177	793	3662
178	797	3655
179	801	3649
180	805	3643
181	809	3637
182	813	3633
183	817	3625
184	821	3619
185	825	3612
186	830	3609
187	834	3603
188	838	3596
189	841	3589
190	845	3582
191	849	3575
192	853	3570
193	857	3563
194	862	3558
195	865	3552
196	869	3545
197	873	3538
198	877	3532
199	881	3526
200	885	3518
201	888	3509
202	891	3500
203	894	3490
204	897	3480
205	900	3471
206	903	3461
207	906	3452
208	909	3442
209	912	3432
210	915	3423
211	918	3413
212	921	3404
213	924	3395
214	927	3385
215	930	3376
216	933	3367
217	936	3357
218	939	3348
219	942	3340
220	945	3331
221	947	3321
222	950	3312
223	954	3305
224	957	3298
225	960	3290
226	963	3281
227	966	3273
228	970	3265
229	973	3257
230	976	3249
231	978	3240
232	982	3232
233	985	3225
234	988	3216
235	991	3208
236	994	3200
237	997	3192
238	1000	3185
239	1004	3180
240	1008	3175
241	1011	3168
242	1014	3160
243	1017	3152
244	1019	3141
245	1022	3135
246	1025	3127
247	1028	3119
248	1031	3112
249	1035	3106
250	1037	3096
251	1040	3089
252	1043	3081
253	1046	3074
254	1049	3066
255	1052	3059
256	1055	3052
257	1058	3045
258	1061	3037
259	1064	3030
260	1067	3022
261	1071	3017
262	1076	3015
263	1080	3012
264	1084	3008
265	1088	3003
266	1092	2999
267	1095	2993
268	1101	2993
269	1105	2988
270	1109	2984
271	1112	2977
272	1115	2970
273	1120	2968
274	1122	2958
275	1125	2951
276	1128	2944
277	1131	2937
278	1134	2930
279	1137	2924
280	1140	2917
281	1143	2912
282	1146	2905
283	1149	2899
284	1153	2893
285	1157	2888
286	1160	2881
287	1163	2875
288	1166	2868
289	1169	2863
290	1172	2856
291	1175	2849
292	1178	2843
293	1181	2837
294	1184	2831
295	1187	2825
296	1191	2819
297	1193	2812
298	1197	2807
299	1200	2801
300	1204	2796
301	1207	2790
302	1210	2783
303	1213	2777
304	1217	2774
305	1221	2769
306	1224	2763
307	1227	2757
308	1230	2751
309	1234	2747
310	1237	2741
311	1240	2735
312	1243	2729
313	1246	2723
314	1250	2718
315	1253	2712
316	1256	2706
317	1259	2700
318	1262	2694
319	1266	2691
320	1269	2685
321	1272	2679
322	1275	2673
323	1278	2667
324	1281	2661
325	1284	2655
326	1287	2649
327	1290	2643
328	1293	2638
329	1296	2632
330	1299	2627
331	1302	2621
332	1305	2615
333	1308	2609
334	1311	2604
335	1315	2599
336	1318	2594
337	1321	2588
338	1324	2582
339	1327	2576
340	1330	2571
341	1333	2565
342	1336	2560
343	1339	2554
344	1342	2548
345	1345	2543
346	1348	2537
347	1352	2533
348	1355	2528
349	1358	2522
350	1361	2517
351	1364	2512
352	1367	2506
353	1370	2501
354	1374	2496
355	1377	2491
356	1380	2486
357	1383	2481
358	1386	2475
359	1390	2471
360	1393	2465
361	1396	2461
362	1399	2456
363	1402	2451
364	1406	2446
365	1409	2441
366	1412	2436
367	1415	2431
368	1418	2426
369	1421	2421
370	1424	2415
371	1428	2411
372	1431	2405
373	1434	2400
374	1437	2396
375	1441	2391
376	1444	2386
377	1447	2381
378	1450	2376
379	1453	2371
380	1456	2366
381	1459	2361
382	1462	2356
383	1465	2351
384	1468	2346
385	1471	2340
386	1474	2335
